model,split,dropout1,dropout2,accuracy,precision_normal,precision_pneumonia,recall_normal,recall_pneumonia,f1_normal,f1_pneumonia,f1_macro,auc,loss
VGG16,1,20%,20%,,0.98,0.87,0.76,0.99,0.86,0.93,,0.89,
VGG16,1,20%,50%,,0.96,0.89,0.80,0.98,0.87,0.93,0.90,0.97,
VGG16,1,50%,50%,,0.97,0.91,0.83,0.98,0.89,0.94,0.91,0.98,
VGG16,1,70%,70%,,0.98,0.92,0.85,0.99,0.91,0.95,0.93,0.97,
VGG19,1,20%,50%,,0.98,0.88,0.77,0.99,0.86,0.93,,0.89,0.97
VGG19,1,30%,50%,,0.94,0.90,0.81,0.97,0.87,0.93,0.89,0.96,
VGG19,1,50%,50%,,0.96,0.87,0.76,0.98,0.85,0.92,0.88,0.97,
VGG19,1,70%,70%,,0.95,0.89,0.81,0.98,0.88,0.93,0.90,0.96,
ResNet50,1,20%,50%,,0.91,0.91,0.85,0.95,0.88,0.93,0.90,0.97,
ResNet50,1,30%,50%,,0.93,0.89,0.80,0.96,0.86,0.92,0.89,0.96,
MobileNetV2,1,20%,20%,,0.95,0.91,0.84,0.97,0.89,0.94,0.91,0.98,
MobileNetV2,1,20%,50%,,0.97,0.86,0.72,0.98,0.83,0.92,0.87,0.97,
MobileNetV2,1,50%,50%,,0.95,0.85,0.71,0.98,0.81,0.91,0.86,0.97,
MobileNetV2,1,70%,70%,,1.00,0.71,0.33,1.00,0.50,0.83,0.66,0.96,
EfficientNetB0,1,20%,20%,,0.94,0.88,0.70,0.98,0.80,0.93,0.86,0.97,
EfficientNetB0,1,20%,50%,,0.95,0.84,0.70,0.98,0.80,0.91,0.85,0.96,
DenseNet121,1,20%,50%,,0.93,0.89,0.79,0.97,0.86,0.93,0.89,0.96,
DenseNet121,1,50%,50%,,0.95,0.87,0.76,0.97,0.84,0.92,0.88,0.96,
DenseNet121,1,70%,70%,,0.89,0.71,0.33,0.97,0.48,0.82,0.64,0.91,
DenseNet201,1,70%,70%,,0.92,0.84,0.70,0.96,0.79,0.90,0.84,0.96,
VGG16,2,70%,70%,97.00%,0.95,0.83,0.88,0.89,0.81,0.96,88%,96%,0.0586
VGG19,2,20%,50%,98.00%,0.95,0.84,0.88,0.90,0.82,0.96,88%,96%,0.0380
ResNet50,2,20%,50%,98.70%,0.93,0.91,0.84,0.94,0.77,0.97,89%,96%,0.0038
ResNet101,2,30%,50%,99.32%,0.90,0.91,0.84,0.94,0.78,0.96,88%,97%,0.0197
MobileNetV2,2,20%,20%,98.97%,0.88,0.90,0.82,0.95,0.77,0.95,87%,94%,0.0283
EfficientNetB0,2,20%,20%,96.79%,0.93,0.88,0.80,0.93,0.70,0.98,86%,97%,0.0845
DenseNet121,2,20%,50%,96.10%,0.87,0.88,0.77,0.94,0.70,0.95,84%,94%,0.0989
DenseNet201,2,70%,70%,97.62%,0.89,0.86,0.74,0.91,0.63,0.96,82%,95%,0.0675
VGG16,3,70%,70%,98.06%,0.95,0.83,0.88,0.89,0.81,0.96,88%,96%,0.0586
VGG19,3,20%,50%,98.98%,0.95,0.84,0.88,0.90,0.82,0.96,88%,96%,0.0380
ResNet50,3,20%,50%,99.41%,0.95,0.92,0.93,0.93,0.92,0.95,93%,98%,0.0215
ResNet101,3,30%,50%,99.13%,0.93,0.89,0.90,0.91,0.88,0.93,90%,96%,0.0238
MobileNetV2,3,20%,20%,98.68%,0.93,0.91,0.92,0.93,0.90,0.93,91%,98%,0.0349
EfficientNetB0,3,20%,20%,98.68%,0.93,0.91,0.92,0.92,0.90,0.93,91%,98%,0.0349
DenseNet121,3,20%,50%,96.76%,0.95,0.82,0.86,0.88,0.79,0.96,84%,96%,0.0875
DenseNet201,3,70%,70%,96.10%,0.94,0.83,0.87,0.89,0.81,0.94,87%,95%,0.1152
Hybrid_EfficientNet_MobileNet,3,,,99%,0.99,0.94,0.94,0.99,0.96,0.97,,100%,
